Ticker,Date,Price_Momentum,Volume_Ratio,Trend_Score,Combined_Score,Signal,Close
INTC,2025-09-05,18.31,0.46,8.84,-12.59,HOLD,24.489999771118164
TTWO,2025-09-05,6.64,0.58,0.15,-14.2,HOLD,239.67999267578125
QQQ,2025-09-05,1.71,1.45,5.46,19.66,HOLD,576.0599975585938
SPY,2025-09-05,1.59,1.22,5.78,10.74,HOLD,647.239990234375
IWM,2025-09-05,5.97,1.39,10.38,20.19,HOLD,237.7700042724609
MAGS,2025-09-05,5.97,1.67,11.27,31.3,BUY,61.209999084472656
XLK,2025-09-05,0.33,2.61,4.7,65.43,BUY,262.8599853515625
XLC,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLY,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLP,2025-09-05,-0.77,1.29,0.87,11.41,HOLD,80.87000274658203
XLE,2025-09-05,0.3,1.67,1.88,27.29,BUY,87.36000061035156
XLF,2025-09-05,-0.69,1.57,2.47,23.2,HOLD,53.06999969482422
XLV,2025-09-05,1.04,1.06,2.74,3.38,HOLD,137.89999389648438
XLI,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLB,2025-09-05,-0.44,1.07,4.76,3.66,HOLD,91.95999908447266
XLRE,2025-09-05,-1.43,0.81,2.95,-7.56,HOLD,42.18000030517578
XLU,2025-09-05,-1.24,1.27,2.83,10.86,HOLD,83.47000122070312
SMH,2025-09-05,2.01,1.3,5.8,14.04,HOLD,293.2799987792969
BKNG,2025-09-05,-2.25,1.01,-1.61,-0.67,HOLD,5505.7998046875
MELI,2025-09-05,2.33,1.38,-5.57,14.91,HOLD,2417.489990234375
REGN,2025-09-05,1.98,0.97,10.22,1.52,HOLD,573.3800048828125
CHTR,2025-09-05,-15.58,0.89,-33.63,-17.17,HOLD,261.5
KLAC,2025-09-05,0.55,1.14,0.46,6.08,HOLD,905.0900268554688
META,2025-09-05,5.58,0.81,3.63,-4.74,HOLD,752.4500122070312
ASML,2025-09-05,9.91,1.27,-2.05,14.35,HOLD,781.7000122070312
NFLX,2025-09-05,5.36,0.86,-4.81,-4.61,HOLD,1243.8199462890625
COST,2025-09-05,3.14,0.89,-1.84,-3.42,HOLD,963.47998046875
ADBE,2025-09-05,-5.87,1.27,-9.35,6.69,HOLD,348.9700012207031
LULU,2025-09-05,-23.53,7.45,-27.54,243.08,HOLD,167.8000030517578
ROP,2025-09-05,-7.92,1.02,-8.16,-4.05,HOLD,518.4400024414062
LIN,2025-09-05,-0.71,0.69,1.09,-12.44,HOLD,469.5199890136719
FANG,2025-09-05,-3.39,1.02,-0.82,-0.62,HOLD,138.7100067138672
VRTX,2025-09-05,-15.66,0.54,-10.66,-26.86,SELL,396.1199951171875
SNPS,2025-09-05,-0.57,1.13,20.67,9.29,HOLD,598.1400146484375
INTU,2025-09-05,-14.39,0.8,-12.83,-16.23,HOLD,672.8200073242188
MSFT,2025-09-05,-3.64,1.44,-0.49,16.17,HOLD,495.0
AMGN,2025-09-05,-7.48,1.13,1.62,2.36,HOLD,283.6400146484375
IDXX,2025-09-05,13.77,0.54,21.83,-8.47,HOLD,642.989990234375
MSTR,2025-09-05,-17.25,1.25,-13.09,0.42,HOLD,335.8699951171875
TMUS,2025-09-05,3.78,0.84,9.22,-2.96,HOLD,252.75999450683597
BIIB,2025-09-05,6.96,1.0,10.83,5.13,HOLD,140.6699981689453
QCOM,2025-09-05,0.91,0.97,1.04,-0.52,HOLD,159.83999633789062
ADP,2025-09-05,-4.1,1.22,-2.31,6.57,HOLD,295.9700012207031
CEG,2025-09-05,-7.76,1.26,-6.38,5.88,HOLD,301.5799865722656
GOOGL,2025-09-05,21.65,1.31,35.42,27.98,HOLD,235.0
GOOG,2025-09-05,21.17,1.13,34.82,20.53,HOLD,235.1699981689453
PDD,2025-09-05,5.26,1.01,17.9,6.06,HOLD,124.68000030517578
MAR,2025-09-05,-5.16,1.01,-1.82,-2.11,HOLD,264.70001220703125
HON,2025-09-05,-3.96,1.21,-4.87,5.65,HOLD,214.25
NXPI,2025-09-05,1.55,0.79,3.87,-7.07,HOLD,226.7400054931641
AMAT,2025-09-05,-12.35,0.91,-11.32,-10.78,HOLD,162.75
CDW,2025-09-05,-6.3,1.18,-4.26,3.81,HOLD,169.72999572753906
ISRG,2025-09-05,-5.85,1.22,-12.6,3.76,HOLD,466.8599853515625
AEP,2025-09-05,-0.72,1.04,6.5,2.65,HOLD,108.11000061035156
APP,2025-09-05,34.63,1.36,41.1,36.55,HOLD,490.239990234375
AAPL,2025-09-05,12.19,0.98,19.38,7.77,HOLD,239.69000244140625
AMZN,2025-09-05,0.38,0.87,7.01,-3.71,HOLD,232.3300018310547
VRSK,2025-09-05,-9.28,0.88,-11.41,-10.78,HOLD,270.3099975585937
ROST,2025-09-05,9.12,0.8,19.21,-0.45,HOLD,150.9499969482422
CMCSA,2025-09-05,0.68,0.91,-2.81,-3.83,HOLD,33.90999984741211
PCAR,2025-09-05,-2.16,0.88,4.74,-4.76,HOLD,99.0500030517578
MU,2025-09-05,18.07,1.56,4.36,30.6,BUY,131.3699951171875
PEP,2025-09-05,2.05,0.86,14.17,-1.75,HOLD,146.38999938964844
TXN,2025-09-05,2.32,1.47,-8.25,18.17,HOLD,187.92999267578125
ODFL,2025-09-05,-9.8,0.88,-6.39,-10.06,HOLD,150.7100067138672
GILD,2025-09-05,-0.99,1.13,6.9,6.3,HOLD,115.0500030517578
CTSH,2025-09-05,-5.91,0.95,-7.02,-5.77,HOLD,71.81999969482422
GEHC,2025-09-05,-2.42,0.83,1.21,-7.38,HOLD,75.7300033569336
PYPL,2025-09-05,-12.46,0.67,-6.71,-19.66,HOLD,68.26000213623047
ADSK,2025-09-05,7.61,1.01,7.03,5.03,HOLD,326.3699951171875
PAYX,2025-09-05,-8.48,0.9,-3.22,-7.9,HOLD,135.44000244140625
CTAS,2025-09-05,-8.34,0.86,-7.04,-10.3,HOLD,204.5
LRCX,2025-09-05,6.18,0.7,6.31,-8.29,HOLD,102.9499969482422
ABNB,2025-09-05,-12.38,0.82,-7.41,-13.44,HOLD,123.80999755859376
AXON,2025-09-05,-0.9,0.62,-9.4,-17.45,SELL,728.4099731445312
EA,2025-09-05,11.17,0.72,6.9,-5.33,HOLD,168.6199951171875
ADI,2025-09-05,8.45,0.59,4.12,-12.2,HOLD,247.07000732421875
TRI,2025-09-05,-13.86,0.5,-11.13,-27.97,SELL,174.63999938964844
CDNS,2025-09-05,5.67,0.65,15.58,-8.52,HOLD,351.010009765625
CCEP,2025-09-05,-11.16,1.06,-2.62,-2.43,HOLD,88.87999725341797
XEL,2025-09-05,0.03,1.65,7.28,27.49,BUY,72.68000030517578
NVDA,2025-09-05,-3.73,1.3,7.74,11.98,HOLD,167.02000427246094
BKR,2025-09-05,-0.5,0.84,19.57,-2.81,HOLD,45.58000183105469
ORLY,2025-09-05,7.35,0.97,18.83,5.41,HOLD,104.83999633789062
MDLZ,2025-09-05,-12.52,0.78,-8.23,-15.35,HOLD,61.7400016784668
AZN,2025-09-05,13.22,0.51,17.41,-10.79,HOLD,81.69999694824219
AVGO,2025-09-05,15.41,3.86,23.96,125.23,BUY,334.8900146484375
EXC,2025-09-05,-0.39,0.73,3.07,-10.21,HOLD,43.43000030517578
CSCO,2025-09-05,-2.61,1.02,-2.39,-0.7,HOLD,66.9000015258789
FTNT,2025-09-05,-24.79,1.11,-24.1,-10.26,HOLD,78.83000183105469
SBUX,2025-09-05,-8.92,0.86,-6.37,-10.61,HOLD,85.43000030517578
WDAY,2025-09-05,-4.41,0.97,-2.58,-3.54,HOLD,231.0800018310547
SHOP,2025-09-05,17.99,0.71,29.85,1.74,HOLD,146.82000732421875
DASH,2025-09-05,-1.23,0.64,3.01,-14.39,SELL,246.8500061035156
AMD,2025-09-05,-9.21,1.26,5.19,7.9,HOLD,151.13999938964844
TSLA,2025-09-05,11.0,1.34,7.69,19.52,HOLD,350.8399963378906
CSX,2025-09-05,-9.03,0.42,-0.12,-26.84,SELL,32.529998779296875
PANW,2025-09-05,-4.33,0.49,-3.89,-22.72,SELL,194.4600067138672
MNST,2025-09-05,2.97,0.55,0.43,-16.9,HOLD,62.459999084472656
CPRT,2025-09-05,4.03,2.86,0.68,76.27,BUY,48.56999969482422
DXCM,2025-09-05,-9.53,0.64,-5.33,-19.3,SELL,80.51000213623047
KDP,2025-09-05,-13.89,1.29,-12.68,3.68,HOLD,28.649999618530277
ON,2025-09-05,-13.72,0.78,-8.46,-15.91,HOLD,49.11000061035156
FAST,2025-09-05,0.98,1.63,16.75,29.04,BUY,47.9900016784668
TTD,2025-09-05,-39.55,0.72,-23.45,-31.7,HOLD,52.06999969482422
ARM,2025-09-05,-15.32,0.61,-12.63,-24.1,SELL,138.1699981689453
DDOG,2025-09-05,-9.18,0.86,3.78,-8.42,HOLD,136.0800018310547
WBD,2025-09-05,-10.23,1.2,8.61,5.45,HOLD,12.109999656677246
PLTR,2025-09-05,-3.58,1.09,6.14,3.26,HOLD,153.11000061035156
CSGP,2025-09-05,-3.78,0.63,9.77,-14.55,SELL,89.45999908447266
GFS,2025-09-05,-16.73,0.84,-14.13,-16.03,HOLD,33.290000915527344
ZS,2025-09-05,-4.19,0.95,-12.63,-6.35,HOLD,274.20001220703125
MCHP,2025-09-05,-4.75,0.85,-6.87,-9.39,HOLD,65.91999816894531
MRVL,2025-09-05,-14.66,1.24,-20.74,-0.61,HOLD,63.33000183105469
CRWD,2025-09-05,-10.75,0.68,-17.34,-20.4,HOLD,417.6300048828125
TEAM,2025-09-05,-15.06,0.87,-13.13,-13.97,HOLD,172.42999267578125
KHC,2025-09-05,-4.85,1.09,5.82,2.98,HOLD,27.290000915527344
INTC,2025-09-05,18.31,0.46,8.84,-12.59,HOLD,24.489999771118164
TTWO,2025-09-05,6.64,0.58,0.15,-14.2,HOLD,239.67999267578125
QQQ,2025-09-05,1.71,1.45,5.46,19.66,HOLD,576.0599975585938
SPY,2025-09-05,1.59,1.22,5.78,10.74,HOLD,647.239990234375
IWM,2025-09-05,5.97,1.39,10.38,20.19,HOLD,237.7700042724609
MAGS,2025-09-05,5.97,1.67,11.27,31.3,BUY,61.209999084472656
XLK,2025-09-05,0.33,2.61,4.7,65.43,BUY,262.8599853515625
XLC,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLY,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLP,2025-09-05,-0.77,1.29,0.87,11.41,HOLD,80.87000274658203
XLE,2025-09-05,0.3,1.67,1.88,27.29,BUY,87.36000061035156
XLF,2025-09-05,-0.69,1.57,2.47,23.2,HOLD,53.06999969482422
XLV,2025-09-05,1.04,1.06,2.74,3.38,HOLD,137.89999389648438
XLI,2025-09-05,-2.62,1.6,3.85,23.8,HOLD,150.92999267578125
XLB,2025-09-05,-0.44,1.07,4.76,3.66,HOLD,91.95999908447266
XLRE,2025-09-05,-1.43,0.81,2.95,-7.56,HOLD,42.18000030517578
XLU,2025-09-05,-1.24,1.27,2.83,10.86,HOLD,83.47000122070312
SMH,2025-09-05,2.01,1.3,5.8,14.04,HOLD,293.2799987792969
